GENERAL ELECTRIC	1934	0
INC	2223	0
GENERAL MOTORS	1936	0
PRUDENTIAL	6689	0
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE	11493	1
PUBLIC SERVICE COMMISSION	9071	1
WILDLIFE MANAGEMENT INSTITUTE	9388	1
SERVICEMEMBERS LEGAL DEFENSE NETWORK	4447	1
PENNSYLVANIA IMMIGRATION RESOURCE CENTER	4027	1
NEW YORK STOCK EXCHANGE	3725	1
TOBACCO PRODUCTS LIABILITY PROJECT	4784	1
NATIONAL BORDER PATROL COUNCIL	3258	1
WOMEN EMPLOYED	5208	1
NATIONAL WOMENS POLITICAL CAUCUS	3554	1
NATIONAL WOMENS LAW CENTER	3553	1
NATIONAL WOMENS HISTORY PROJECT	3552	1
NATIONAL WOMENS HEALTH NETWORK	3551	1
NATIONAL BAR ASSOCIATION	3250	1
NATIONAL BASKETBALL ASSOCIATION	3252	1
GEORGETOWN UNIVERSITY LAW CENTER	1946	1
AMERICAN FARMLAND TRUST	9283	1
GEORGETOWN UNIVERSITY	1945	1
CITIBANK	1159	1
AMERICAN LUNG ASSOCIATION	346	1
HEARTLAND ALLIANCE	2078	1
POLICY ANALYSIS CENTER	11915	1
AMERICAN LEGISLATIVE EXCHANGE COUNCIL	341	1
AMERICAN LIBRARY ASSOCIATION	343	1
WASHINGTON CONTRACT LOGGERS ASSOCIATION	9937	1
AMERICAN MEDICAL ASSOCIATION	349	1
PARENTS TELEVISION COUNCIL	3991	1
BROWN UNIVERSITY	817	1
MICROSOFT	2914	1
MEDTRONIC	2853	1
AMERICAN JAIL ASSOCIATION	330	1
MUSCULAR DYSTROPHY ASSOCIATION	10091	1
THE AMERICAN LEGION	6150	1
CITGO	6152	1
EATON	1620	1
NATIONAL CRIME VICTIM LAW INSTITUTE	3337	1
UNITED STEELWORKERS	6157	1
RETAIL MERCHANTS ASSOCIATION	6091	1
NATIONAL DEFENSE COMMITTEE	3339	1
AMERICAN CORN GROWERS ASSOCIATION	12063	1
NATIONAL GROCERS ASSOCIATION	10096	1
AMERICAN NATIONAL RED CROSS	10192	1
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION	1705	1
CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION	9675	1
EQUAL RIGHTS ADVOCATES	1709	1
TAX FOUNDATION	4678	1
TEMPLE UNIVERSITY	4703	1
AMERICAN GERIATRICS SOCIETY	299	1
AMERICAN GAMING ASSOCIATION	296	1
AMERICAN GAS ASSOCIATION	297	1
AMERICAN FRIENDS SERVICE COMMITTEE	294	1
AMERICAN FREEDOM AGENDA	293	1
ELLSWORTH	1661	1
NORTH COAST RIVERS ALLIANCE	3773	1
COAST ALLIANCE	9727	1
AMERICAN BANKERS ASSOCIATION	195	1
RIVER ALLIANCE	4320	1
AMERICAN BENEFITS COUNCIL	197	1
CHILDREN NOW	1124	1
