DUKE UNIVERSITY	1607	0
UNITED STATES	8058	1
UNITED STATES SENTENCING COMMISSION	4899	1
NATIONAL WOMENS HEALTH NETWORK	3551	2
GUTTMACHER INSTITUTE	2027	2
CONSUMERS UNION	1388	2
WOMEN	10223	2
GOVERNMENT ACCOUNTABILITY PROJECT	1984	2
FEMINIST MAJORITY FOUNDATION	1806	2
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE	11493	3
PUBLIC SERVICE COMMISSION	9071	3
WILDLIFE MANAGEMENT INSTITUTE	9388	3
SERVICEMEMBERS LEGAL DEFENSE NETWORK	4447	3
PENNSYLVANIA IMMIGRATION RESOURCE CENTER	4027	3
NEW YORK STOCK EXCHANGE	3725	3
TOBACCO PRODUCTS LIABILITY PROJECT	4784	3
NATIONAL BORDER PATROL COUNCIL	3258	3
WOMEN EMPLOYED	5208	3
NATIONAL WOMENS POLITICAL CAUCUS	3554	3
NATIONAL WOMENS LAW CENTER	3553	3
NATIONAL WOMENS HISTORY PROJECT	3552	3
NATIONAL BAR ASSOCIATION	3250	3
NATIONAL BASKETBALL ASSOCIATION	3252	3
GEORGETOWN UNIVERSITY LAW CENTER	1946	3
AMERICAN FARMLAND TRUST	9283	3
GEORGETOWN UNIVERSITY	1945	3
CITIBANK	1159	3
JUSTICE COALITION	11910	3
AMERICAN LUNG ASSOCIATION	346	3
HEARTLAND ALLIANCE	2078	3
POLICY ANALYSIS CENTER	11915	3
AMERICAN LEGISLATIVE EXCHANGE COUNCIL	341	3
AMERICAN LIBRARY ASSOCIATION	343	3
WASHINGTON CONTRACT LOGGERS ASSOCIATION	9937	3
AMERICAN MEDICAL ASSOCIATION	349	3
PARENTS TELEVISION COUNCIL	3991	3
BROWN UNIVERSITY	817	3
MICROSOFT	2914	3
MEDTRONIC	2853	3
AMERICAN JAIL ASSOCIATION	330	3
MUSCULAR DYSTROPHY ASSOCIATION	10091	3
THE AMERICAN LEGION	6150	3
CITGO	6152	3
EATON	1620	3
NATIONAL CRIME VICTIM LAW INSTITUTE	3337	3
UNITED STEELWORKERS	6157	3
RETAIL MERCHANTS ASSOCIATION	6091	3
NATIONAL DEFENSE COMMITTEE	3339	3
AMERICAN CORN GROWERS ASSOCIATION	12063	3
NATIONAL GROCERS ASSOCIATION	10096	3
AMERICAN NATIONAL RED CROSS	10192	3
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION	1705	3
CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION	9675	3
EQUAL RIGHTS ADVOCATES	1709	3
TAX FOUNDATION	4678	3
TEMPLE UNIVERSITY	4703	3
AMERICAN GERIATRICS SOCIETY	299	3
AMERICAN GAMING ASSOCIATION	296	3
AMERICAN GAS ASSOCIATION	297	3
AMERICAN FRIENDS SERVICE COMMITTEE	294	3
AMERICAN FREEDOM AGENDA	293	3
ELLSWORTH	1661	3
NORTH COAST RIVERS ALLIANCE	3773	3
COAST ALLIANCE	9727	3
AMERICAN BANKERS ASSOCIATION	195	3
RIVER ALLIANCE	4320	3
AMERICAN BENEFITS COUNCIL	197	3
AMERICAN BAR ASSOCIATION	196	3
CHILDREN NOW	1124	3
CHILDRENS DEFENSE FUND	1126	3
AMERICAN AUTOIMMUNE RELATED DISEASES ASSOCIATION	192	3
SURFRIDER FOUNDATION	4655	3
AMERICAN EXPRESS	273	3
AMERICAN FAMILY ASSOCIATION	274	3
SOUTH DAKOTA CATTLEMENS ASSOCIATION	4552	3
MASTERCARD	2821	3
MAYO CLINIC	2822	3
CALIFORNIA COASTAL COMMISSION	9298	3
KELLOGG	2541	3
NATIONAL FOREIGN TRADE COUNCIL	3385	3
NATIONAL FOOTBALL LEAGUE	3382	3
KENTUCKY FARM BUREAU	2546	3
NATIONAL FISHERIES INSTITUTE	3381	3
MORTGAGE BANKERS ASSOCIATION	3025	3
MORGAN STANLEY	3023	3
INTERNATIONAL RESCUE COMMITTEE	2383	3
AMERICAN TRUCKING ASSOCIATIONS	8738	3
CONSTITUTION PROJECT	1371	3
CORNELL UNIVERSITY	1401	3
INNOCENCE PROJECT	2266	3
AMERICAN HEALTH CARE ASSOCIATION	302	3
PUBLIC LANDS FOUNDATION	4215	3
PUBLIC LANDS COUNCIL	4214	3
VANDERBILT UNIVERSITY	5001	3
CONGRESSIONAL BLACK CAUCUS	1339	3
PUBLIC KNOWLEDGE	4213	3
VERIZON	5004	3
ANIMAL LEGAL DEFENSE FUND	443	3
PUBLIC COUNSEL	4194	3
COASTAL STATES ORGANIZATION	1238	3
MAJOR LEAGUE SOCCER	2765	3
MAJOR LEAGUE BASEBALL PLAYERS ASSOCIATION	2764	3
MENTAL HEALTH ASSOCIATION	7867	3
SAFE HORIZON	4359	3
INFORMATION TECHNOLOGY INDUSTRY COUNCIL	2260	3
FREEDOM FORUM	11384	3
SAFARI CLUB INTERNATIONAL	4357	3
RUTHERFORD INSTITUTE	4350	3
CALIFORNIA STATE SHERIFFS ASSOCIATION	902	3
GUAM	7707	3
TRANSPORTATION INTERMEDIARIES ASSOCIATION	4811	3
TRANSPORTATION INSTITUTE	4810	3
TRIBUNE	4817	3
PUBLIC JUSTICE	4815	3
ADVANCED MEDICAL TECHNOLOGY ASSOCIATION	32	3
TRINITY UNITED METHODIST CHURCH	4818	3
AMERICAN BOILER MANUFACTURERS ASSOCIATION	6506	3
PUERTO RICO	7708	3
FLORIDA IMMIGRANT ADVOCACY CENTER	1844	3
COCA COLA	1240	3
COLLEGE BOARD	1245	3
HISPANIC NATIONAL BAR ASSOCIATION	2105	3
NASDAQ	3094	3
UNITED STATES STUDENT ASSOCIATION	4900	3
MILITARY COALITION	10635	3
AMNESTY INTERNATIONAL	435	3
AMGEN	432	3
NATIONAL ASIAN PACIFIC AMERICAN WOMENS FORUM	3120	3
DISABLED AMERICAN VETERANS	1539	3
PROTECTING OUR CHILDREN	11217	3
HUMAN RIGHTS FIRST	2614	3
AMERICAN LEGION	339	3
MEDICAID	2839	3
SMALL BUSINESS LEGISLATIVE COUNCIL	9737	3
FEDERAL ENERGY REGULATORY COMMISSION	8098	3
AMERICAN LEGACY FOUNDATION	337	3
GENERAL ELECTRIC	1934	3
AMERICAN JEWISH COMMITTEE	331	3
NORTHROP GRUMMAN	3800	3
NORTHWEST AIRLINES	3803	3
AMERICAN JEWISH CONGRESS	332	3
UNITARIAN UNIVERSALIST ASSOCIATION	4843	3
ALPHA KAPPA ALPHA SORORITY	10028	3
SAS	7787	3
NATIONAL COLLEGIATE ATHLETIC ASSOCIATION	3294	3
AMERICAN RED CROSS	8342	3
NATIONAL COMMUNITY PHARMACISTS ASSOCIATION	3296	3
PRESERVATION ACTION	9282	3
CALIFORNIA BANKERS ASSOCIATION	854	3
PHILIP MORRIS	8190	3
UNITED TECHNOLOGIES CORPORATION	8196	3
NATIONAL MENTAL HEALTH ASSOCIATION	3454	3
3M COMPANY	0	3
NATIONAL MILK PRODUCERS FEDERATION	3458	3
NATIONAL MINING ASSOCIATION	3459	3
CALIFORNIA CATTLEMENS ASSOCIATION	859	3
NATIONAL RIFLE ASSOCIATION	3515	3
NATIONAL PUBLIC RADIO	3503	3
OPEN SOCIETY INSTITUTE	3899	3
MAINE	7416	3
SCHOOL BOARDS ASSOCIATION	4410	3
LIFE LEGAL DEFENSE FOUNDATION	2686	3
ONCOLOGY NURSING SOCIETY	3894	3
INDIANA UNIVERSITY	2249	3
COUNCIL ON STATE TAXATION	1436	3
RURAL EDUCATION ASSOCIATION	6808	3
CALIFORNIA AIR RESOURCES BOARD	7270	3
TIME WARNER	4777	3
THOMSON REUTERS	4774	3
NATIONAL MULTIPLE SCLEROSIS SOCIETY	3464	3
THOMAS MORE LAW CENTER	4771	3
PHARMACEUTICAL MANUFACTURERS ASSOCIATION	7001	3
THE SENIORS COALITION	10093	3
FEDERAL LAW ENFORCEMENT OFFICERS ASSOCIATION	10842	3
WOMENS LAW CENTER	5228	3
NATIONAL CRIME PREVENTION COUNCIL	10844	3
GRANT THORNTON	1994	3
GRASSROOTS INTERNATIONAL	1999	3
EDISON ELECTRIC INSTITUTE	1629	3
AMERICAN BAPTIST CHURCHES	3460	3
VIRGINIA BANKERS ASSOCIATION	8937	3
RETIRED OFFICERS ASSOCIATION	9946	3
PENSION BENEFIT GUARANTY CORPORATION	9944	3
MONTANA STOCKGROWERS ASSOCIATION	3013	3
NATIONAL TAXPAYERS UNION	3535	3
MENNONITE CENTRAL COMMITTEE	2860	3
MENTAL HEALTH AMERICA	2862	3
KRAFT FOODS	2575	3
BIOTECHNOLOGY INDUSTRY ORGANIZATION	747	3
SEC	7176	3
COUNTRY MUSIC ASSOCIATION	1438	3
AMERICAN-ARAB ANTI-DISCRIMINATION COMMITTEE	12192	3
MINNESOTA FARM BUREAU	2944	3
CLEAN WATER ACTION	1199	3
INTERNATIONAL COMMUNITY CORRECTIONS ASSOCIATION	2343	3
NATIONAL CLUB ASSOCIATION	12142	3
NATIONAL DISABILITY RIGHTS NETWORK	3342	3
NATIONAL DEFENSE INDUSTRIAL ASSOCIATION	3340	3
INTERNATIONAL CRISIS GROUP	2349	3
NATIONAL DISTRICT ATTORNEYS ASSOCIATION	3344	3
NATIONAL DOWN SYNDROME CONGRESS	3345	3
60 PLUS ASSOCIATION	1	3
EPILEPSY FOUNDATION	1697	3
ENVIRONMENTAL TECHNOLOGY COUNCIL	1694	3
ENVIRONMENTAL DEFENSE FUND	1690	3
UNITED STATES BORDER PATROL	4881	3
UNISYS	9797	3
NATIONAL WILDERNESS INSTITUTE	10936	3
EXXON MOBIL	1751	3
EXXON	1750	3
RICE UNIVERSITY	4312	3
CONGRESSIONAL COALITION	9112	3
NISQUALLY INDIAN TRIBE	6979	3
SIERRA CLUB	4469	3
FREEDOM ALLIANCE	1884	3
FREE SPEECH COALITION	1882	3
SAN FRANCISCO CHRONICLE	8796	3
SHELL OIL	4461	3
HONEYWELL	2121	3
NATIONAL ASIAN PACIFIC AMERICAN LEGAL CONSORTIUM	3119	3
COLORADO	12212	3
CARTER CENTER	946	3
SYMANTEC CORP	4665	3
NATIONAL APARTMENT ASSOCIATION	3115	3
HEBREW IMMIGRANT AID SOCIETY	2081	3
KAUFFMAN FOUNDATION	2538	3
DOW CHEMICAL	1576	3
BANK ONE	682	3
CALIFORNIA MEDICAL ASSOCIATION	875	3
WILDLIFE SOCIETY	5176	3
WILDERNESS SOCIETY	5175	3
PUBLIC ADVOCATES INC	4188	3
FINANCIAL SERVICES ROUNDTABLE	1818	3
NATIONAL IMMIGRATION FORUM	3406	3
CONGRESSIONAL HISPANIC CAUCUS	9363	3
AMAZON	133	3
TRANS WORLD AIRLINES	7224	3
NATIONAL INDIAN GAMING ASSOCIATION	3411	3
NATIONAL CABLE TELEVISION ASSOCIATION	8540	3
FLORIDA CATTLEMENS ASSOCIATION	1834	3
SENIOR EXECUTIVES ASSOCIATION	10834	3
NORTHEASTERN UNIVERSITY	3793	3
HURLEY MEDICAL CENTER	2154	3
AMERICAN UROLOGICAL ASSOCIATION	10665	3
AMERICAN TRUCKING ASSOCIATION	405	3
AMERICAN FARM BUREAU FEDERATION 	12210	3
CONSUMER ALERT	1375	3
CONSUMER ACTION	1374	3
CONSUMER BANKERS ASSOCIATION	1377	3
HUMANE SOCIETY	2153	3
CONSUMER ELECTRONICS ASSOCIATION	1379	3
CONSUMER DATA INDUSTRY ASSOCIATION	1378	3
CARGO AIRLINE ASSOCIATION	937	3
AMERICAN WAY	10305	3
GREENLINING INSTITUTE	2012	3
ORTHODOX UNION	9066	3
NATIONAL MEDICAL ASSOCIATION	3452	3
AIR FORCE SERGEANTS ASSOCIATION	8330	3
FREE CONGRESS FOUNDATION	10449	3
GEORGIA CATTLEMENS ASSOCIATION	1952	3
AMERICAN OPTOMETRIC ASSOCIATION	7445	3
AIR FORCE ASSOCIATION	10114	3
UNITED AUTOMOBILE WORKERS	6711	3
NATIONAL AUTOMOBILE DEALERS ASSOCIATION	3249	3
NATIONAL AUDUBON SOCIETY	3248	3
ENVIRONMENTAL ACTION	7318	3
NATURAL GAS SUPPLY ASSOCIATION	3568	3
SEMICONDUCTOR INDUSTRY ASSOCIATION	4437	3
PRIVACY RIGHTS CLEARINGHOUSE	4137	3
GENERAL MOTORS	1936	3
NATURE CONSERVANCY	11901	3
BURLINGTON COAT FACTORY	829	3
SIMON WIESENTHAL CENTER	4481	3
AMERICAN PUBLIC POWER ASSOCIATION	370	3
AMERICAN RIVERS	372	3
AMERICAN SHEEP INDUSTRY ASSOCIATION	375	3
AMERICAN SEED TRADE ASSOCIATION	374	3
BUDDHIST PEACE FELLOWSHIP	822	3
NATIVE AMERICAN RIGHTS FUND	6856	3
JUDSON MEMORIAL CHURCH	10550	3
FAMILY RESEARCH COUNCIL	1770	3
BAXTER INTERNATIONAL	702	3
DAY	1483	3
DARTMOUTH COLLEGE	1482	3
AMERICAN SOCIOLOGICAL ASSOCIATION	391	3
AMERICAN STAFFING ASSOCIATION	394	3
EDUCATION LAW CENTER	7130	3
DADE COUNTY BAR ASSOCIATION	7135	3
PEOPLE FOR THE AMERICAN WAY	4044	3
INTERFAITH WORKER JUSTICE	2308	3
PENSION RIGHTS CENTER	4042	3
WYETH	5255	3
UNITED AIRLINES	4847	3
ERISA INDUSTRY COMMITTEE	1719	3
TEVA PHARMACEUTICALS	4721	3
INTERFAITH ALLIANCE	2306	3
ELI LILLY	1659	3
DEMOS	1513	3
ELECTRIC POWER SUPPLY ASSOCIATION	1650	3
ELECTRONIC INDUSTRIES ALLIANCE	1656	3
ELECTRONIC PRIVACY INFORMATION CENTER	1657	3
