ongress,number,bill_type,is_alive,current_status,committees, cosponsors, current_status_date, current_status_description, introduced_date, sponsor, sponsor_role,title_without_number
111,192,house_resolution,False,passed_simpleres,,,2009-05-12,"This simple resolution was agreed to on May 12, 2009. That is the end of the legislative process for a simple resolution.",2009-02-25,{},{},"Recognizing National Nurses Week on May 6 through May 12, 2009."
111,5320,house_bill,False,pass_over_house,,,2010-07-30,"This bill was introduced in a previous session of Congress and was passed by the House on July 30, 2010 but was never passed by the Senate.",2010-05-18,{},{},"Assistance, Quality, and Affordability Act of 2010"
109,4288,house_bill,False,referred,,,2005-11-09,"This bill was introduced on November 9, 2005, in a previous session of Congress, but was not enacted.",2005-11-09,{},{},Veterans Cold Weather Injury Compensation Act
106,64,house_concurrent_resolution,False,pass_over_house,,,2000-10-03,"This resolution was introduced in a previous session of Congress and was passed by the House on October 3, 2000 but was never passed by the Senate.",1999-03-18,{},{},"Recognizing the severity of the issue of cervical health, and for other purposes."
112,2497,house_bill,False,referred,,,2011-07-12,"This bill was introduced on July 12, 2011, in a previous session of Congress, but was not enacted.",2011-07-12,{},{},HALT Act
111,5858,house_bill,False,referred,,,2010-07-26,"This bill was introduced on July 26, 2010, in a previous session of Congress, but was not enacted.",2010-07-26,{},{},FIRE Act
111,191,house_resolution,False,referred,,,2009-02-25,"This resolution was introduced on February 25, 2009, in a previous session of Congress, but was not enacted.",2009-02-25,{},{},Expressing support for the designation of May 2009 as “National Link Awareness Month” and recognizing the link between animal cruelty and other forms of societal violence.
111,4264,house_bill,False,referred,,,2009-12-10,"This bill was introduced on December 10, 2009, in a previous session of Congress, but was not enacted.",2009-12-10,{},{},Equality for Women Farmers Act
111,3548,house_bill,False,enacted_signed,,,2009-11-06,"This bill was enacted after being signed by the President on November 6, 2009.",2009-09-10,{},{},"Worker, Homeownership, and Business Assistance Act of 2009"
111,2817,house_bill,False,referred,,,2009-06-11,"This bill was introduced on June 11, 2009, in a previous session of Congress, but was not enacted.",2009-06-11,{},{},Roadmap Act of 2009
112,623,house_bill,False,referred,,,2011-02-10,"This bill was introduced on February 10, 2011, in a previous session of Congress, but was not enacted.",2011-02-10,{},{},National Commission on State Workers’ Compensation Laws Act of 2011
112,2730,house_bill,False,referred,,,2011-08-01,"This bill was introduced on August 1, 2011, in a previous session of Congress, but was not enacted.",2011-08-01,{},{},Strengthening the Child Welfare Response to Human Trafficking Act of 2011
106,701,house_bill,False,pass_over_house,,,2000-05-11,"This bill was introduced in a previous session of Congress and was passed by the House on May 11, 2000 but was never passed by the Senate.",1999-02-10,{},{},Conservation and Reinvestment Act
112,624,house_bill,False,referred,,,2011-02-10,"This bill was introduced on February 10, 2011, in a previous session of Congress, but was not enacted.",2011-02-10,{},{},First State National Historical Park Act
110,1369,house_bill,False,referred,,,2007-03-07,"This bill was introduced on March 7, 2007, in a previous session of Congress, but was not enacted.",2007-03-07,{},{},Family and Medical Leave Expansion Act
108,1676,house_bill,False,referred,,,2003-04-08,"This bill was introduced on April 8, 2003, in a previous session of Congress, but was not enacted.",2003-04-08,{},{},Federal Law Enforcement Officers Pay Equity and Reform Act
108,1677,house_bill,False,referred,,,2003-04-08,"This bill was introduced on April 8, 2003, in a previous session of Congress, but was not enacted.",2003-04-08,{},{},Pension Benefits Protection Act of 2003
111,4284,house_bill,False,enacted_signed,,,2009-12-28,"This bill was enacted after being signed by the President on December 28, 2009.",2009-12-11,{},{},"To extend the Generalized System of Preferences and the Andean Trade Preference Act, and for other purposes."
109,4282,house_bill,False,referred,,,2005-11-09,"This bill was introduced on November 9, 2005, in a previous session of Congress, but was not enacted.",2005-11-09,{},{},Health Freedom Protection Act
106,444,house_bill,False,referred,,,1999-02-02,"This bill was introduced on February 2, 1999, in a previous session of Congress, but was not enacted.",1999-02-02,{},{},Dairy Promotion Fairness Act
106,448,house_bill,False,referred,,,1999-02-02,"This bill was introduced on February 2, 1999, in a previous session of Congress, but was not enacted.",1999-02-02,{},{},Patient Protection Act of 1999
112,3083,house_bill,False,referred,,,2011-10-03,"This bill was introduced on October 3, 2011, in a previous session of Congress, but was not enacted.",2011-10-03,{},{},SSI Extension for Elderly and Disabled Refugees Act of 2011
108,1679,house_bill,False,referred,,,2003-04-08,"This bill was introduced on April 8, 2003, in a previous session of Congress, but was not enacted.",2003-04-08,{},{},Forest Protection and Wildfire Prevention Act of 2003
108,3416,house_bill,False,referred,,,2003-10-30,"This bill was introduced on October 30, 2003, in a previous session of Congress, but was not enacted.",2003-10-30,{},{},Healthy Children Through Better Nutrition Act of 2003
109,3504,senate_bill,False,enacted_signed,,,2006-07-19,"This bill was enacted after being signed by the President on July 19, 2006.",2006-06-13,{},{},Fetus Farming Prohibition Act of 2006
111,517,house_resolution,False,passed_simpleres,,,2009-10-01,"This simple resolution was agreed to on October 1, 2009. That is the end of the legislative process for a simple resolution.",2009-06-08,{},{},Congratulating the University of Washington women’s softball team for winning the 2009 Women’s College World Series.
108,2899,house_bill,False,referred,,,2003-07-25,"This bill was introduced on July 25, 2003, in a previous session of Congress, but was not enacted.",2003-07-25,{},{},Border Security and Immigration Improvement Act
108,2898,house_bill,False,pass_over_house,,,2003-11-04,"This bill was introduced in a previous session of Congress and was passed by the House on November 4, 2003 but was never passed by the Senate.",2003-07-25,{},{},E-911 Implementation Act of 2003
111,512,house_resolution,False,referred,,,2009-06-04,"This resolution was introduced on June 4, 2009, in a previous session of Congress, but was not enacted.",2009-06-04,{},{},Expressing sympathy for the victims and victims’ families of Air France Flight 447.
111,513,house_resolution,False,passed_simpleres,,,2009-07-31,"This simple resolution was agreed to on July 31, 2009. That is the end of the legislative process for a simple resolution.",2009-06-04,{},{},"Supporting the goals and purpose of Gold Star Mothers Day, which is observed on the last Sunday in September of each year in remembrance of the supreme sacrifice made by mothers who lose a son or daughter serving in the Armed Forces."
111,511,house_resolution,False,referred,,,2009-06-04,"This resolution was introduced on June 4, 2009, in a previous session of Congress, but was not enacted.",2009-06-04,{},{},"Commending efforts to teach the history of both Israelis and Palestinians to students in Israel and the West Bank in order to foster mutual understanding, respect, and tolerance."
108,2892,house_bill,False,referred,,,2003-07-24,"This bill was introduced on July 24, 2003, in a previous session of Congress, but was not enacted.",2003-07-24,{},{},To amend the Higher Education Act of 1965 to provide for student loan forgiveness to encourage individuals to become and remain school administrators in low income areas.
108,2891,house_bill,False,referred,,,2003-07-24,"This bill was introduced on July 24, 2003, in a previous session of Congress, but was not enacted.",2003-07-24,{},{},COBRA Coverage Act of 2003
110,315,house_concurrent_resolution,False,referred,,,2008-03-11,"This resolution was introduced on March 11, 2008, in a previous session of Congress, but was not enacted.",2008-03-11,{},{},Supporting the idea that coalition victory in Iraq is possible.
108,2897,house_bill,False,referred,,,2003-07-25,"This bill was introduced on July 25, 2003, in a previous session of Congress, but was not enacted.",2003-07-25,{},{},Bringing America Home Act
108,2896,house_bill,False,reported,,,2003-10-28,"This bill was introduced on October 28, 2003, in a previous session of Congress, but was not enacted.",2003-07-25,{},{},American Jobs Creation Act of 2003
111,519,house_resolution,False,passed_simpleres,,,2009-07-24,"This simple resolution was agreed to on July 24, 2009. That is the end of the legislative process for a simple resolution.",2009-06-08,{},{},Expressing appreciation to the people and Government of Canada for their long history of friendship and cooperation with the people and Government of the United States and congratulating Canada as it celebrates “Canada Day”.
110,5734,house_bill,False,referred,,,2008-04-09,"This bill was introduced on April 9, 2008, in a previous session of Congress, but was not enacted.",2008-04-09,{},{},Pedestrian Safety Enhancement Act of 2008
112,568,house_bill,False,referred,,,2011-02-09,"This bill was introduced on February 9, 2011, in a previous session of Congress, but was not enacted.",2011-02-09,{},{},To require that the Government give priority to payment of all obligations on the debt held by the public and payment of Social Security benefits in the event that the debt limit is reached.
111,3942,house_bill,False,referred,,,2009-10-27,"This bill was introduced on October 27, 2009, in a previous session of Congress, but was not enacted.",2009-10-27,{},{},Veterans Health Care Stamp Act
110,5737,house_bill,False,referred,,,2008-04-09,"This bill was introduced on April 9, 2008, in a previous session of Congress, but was not enacted.",2008-04-09,{},{},Veterans Travel Tax Relief Act of 2008
110,5731,house_bill,False,referred,,,2008-04-08,"This bill was introduced on April 8, 2008, in a previous session of Congress, but was not enacted.",2008-04-08,{},{},Secure the Capitol Act
