key,congress,number,bill_type,is_alive,current_status,title_without_number
111#house_resolution=192,111,192,house_resolution,False,passed_simpleres,Recognizing National Nurses Week on May 6 through May 12, 2009.
111#house_bill=5320,111,5320,house_bill,False,pass_over_house,Assistance, Quality, and Affordability Act of 2010
109#house_bill=4288,109,4288,house_bill,False,referred,Veterans Cold Weather Injury Compensation Act
106#house_concurrent_resolution=64,106,64,house_concurrent_resolution,False,pass_over_house,Recognizing the severity of the issue of cervical health, and for other purposes.
112#house_bill=2497,112,2497,house_bill,False,referred,HALT Act
111#house_bill=5858,111,5858,house_bill,False,referred,FIRE Act
111#house_resolution=191,111,191,house_resolution,False,referred,Expressing support for the designation of May 2009 as “National Link Awareness Month” and recognizing the link between animal cruelty and other forms of societal violence.
111#house_bill=4264,111,4264,house_bill,False,referred,Equality for Women Farmers Act
111#house_bill=3548,111,3548,house_bill,False,enacted_signed,Worker, Homeownership, and Business Assistance Act of 2009
111#house_bill=2817,111,2817,house_bill,False,referred,Roadmap Act of 2009
112#house_bill=623,112,623,house_bill,False,referred,National Commission on State Workers’ Compensation Laws Act of 2011
112#house_bill=2730,112,2730,house_bill,False,referred,Strengthening the Child Welfare Response to Human Trafficking Act of 2011
106#house_bill=701,106,701,house_bill,False,pass_over_house,Conservation and Reinvestment Act
112#house_bill=624,112,624,house_bill,False,referred,First State National Historical Park Act
110#house_bill=1369,110,1369,house_bill,False,referred,Family and Medical Leave Expansion Act
108#house_bill=1676,108,1676,house_bill,False,referred,Federal Law Enforcement Officers Pay Equity and Reform Act
108#house_bill=1677,108,1677,house_bill,False,referred,Pension Benefits Protection Act of 2003
111#house_bill=4284,111,4284,house_bill,False,enacted_signed,To extend the Generalized System of Preferences and the Andean Trade Preference Act, and for other purposes.
109#house_bill=4282,109,4282,house_bill,False,referred,Health Freedom Protection Act
106#house_bill=444,106,444,house_bill,False,referred,Dairy Promotion Fairness Act
106#house_bill=448,106,448,house_bill,False,referred,Patient Protection Act of 1999
112#house_bill=3083,112,3083,house_bill,False,referred,SSI Extension for Elderly and Disabled Refugees Act of 2011
108#house_bill=1679,108,1679,house_bill,False,referred,Forest Protection and Wildfire Prevention Act of 2003
108#house_bill=3416,108,3416,house_bill,False,referred,Healthy Children Through Better Nutrition Act of 2003
109#senate_bill=3504,109,3504,senate_bill,False,enacted_signed,Fetus Farming Prohibition Act of 2006
111#house_resolution=517,111,517,house_resolution,False,passed_simpleres,Congratulating the University of Washington women’s softball team for winning the 2009 Women’s College World Series.
108#house_bill=2899,108,2899,house_bill,False,referred,Border Security and Immigration Improvement Act
108#house_bill=2898,108,2898,house_bill,False,pass_over_house,E-911 Implementation Act of 2003
111#house_resolution=512,111,512,house_resolution,False,referred,Expressing sympathy for the victims and victims’ families of Air France Flight 447.
111#house_resolution=513,111,513,house_resolution,False,passed_simpleres,Supporting the goals and purpose of Gold Star Mothers Day, which is observed on the last Sunday in September of each year in remembrance of the supreme sacrifice made by mothers who lose a son or daughter serving in the Armed Forces.
111#house_resolution=511,111,511,house_resolution,False,referred,Commending efforts to teach the history of both Israelis and Palestinians to students in Israel and the West Bank in order to foster mutual understanding, respect, and tolerance.
108#house_bill=2892,108,2892,house_bill,False,referred,To amend the Higher Education Act of 1965 to provide for student loan forgiveness to encourage individuals to become and remain school administrators in low income areas.
108#house_bill=2891,108,2891,house_bill,False,referred,COBRA Coverage Act of 2003
110#house_concurrent_resolution=315,110,315,house_concurrent_resolution,False,referred,Supporting the idea that coalition victory in Iraq is possible.
108#house_bill=2897,108,2897,house_bill,False,referred,Bringing America Home Act
108#house_bill=2896,108,2896,house_bill,False,reported,American Jobs Creation Act of 2003
111#house_resolution=519,111,519,house_resolution,False,passed_simpleres,Expressing appreciation to the people and Government of Canada for their long history of friendship and cooperation with the people and Government of the United States and congratulating Canada as it celebrates “Canada Day”.
110#house_bill=5734,110,5734,house_bill,False,referred,Pedestrian Safety Enhancement Act of 2008
112#house_bill=568,112,568,house_bill,False,referred,To require that the Government give priority to payment of all obligations on the debt held by the public and payment of Social Security benefits in the event that the debt limit is reached.
