"3469","NATIONAL NETWORK OF ABORTION FUNDS","1993"
"8644","RULE OF LAW COMMITTEE","-1"
"6646","TRAVELERS AID ASSOCIATION OF AMERICA","-1"
"3367","NATIONAL FASTPITCH COACHES ASSOCIATION","1982"
"7178","CATHOLIC CHARITIES OF FAIRFIELD COUNTY","-1"
"5187","WISCONSIN ALUMNI RESEARCH FOUNDATION","1925"
"11077","DIGITAL EQUIPMENT CORPORATION","-1"
"7514","CONFEDERATED TRIBES OF UMATILLA INDIAN RESERVATION","-1"
"1772","FAMILY WATCH INTERNATIONAL","-1"
"9139","CITY OF WHITTIER","-1"
"370","AMERICAN PUBLIC POWER ASSOCIATION","1940"
"7604","WISCONSIN CENTER FOR PUBLIC REPRESENTATION","-1"
"10907","INVESCO INC","-1"
"338","AMERICAN LEGAL AND FINANCIAL NETWORK","2001"
"6510","COUNCIL FOR PERIODICAL DISTRIBUTORS ASSOCIATIONS","-1"
"1712","EQUALITY MISSISSIPPI","-1"
"6787","SYMBAS SCHOOL","-1"
"9364","CAMBRIDGE HAITIAN AMERICAN ASSOCLATION INC","-1"
"4354","SACRED CIRCLE NATIONAL RESOURCE CENTER TO END VIOLENCE AGAINST NATIVE WOMEN","-1"
"6709","SOCIAL SERVICE EMPLOYEES UNION LOCAL 371 AFSCME AFL-CIO","-1"
"3821","NOT DEAD YET","1996"
"10972","AMERICAN COALITION FOR ABUSE AWARENESS","-1"
"1571","DONREY MEDIA GROUP","-1"
"3171","NATIONAL ASSOCIATION OF EVANGELISTS","-1"
"6113","SCHUTTER-JOHNSON CANDY CO","-1"
"6469","SAN CARLOS APACHE TRIBE","-1"
"4078","PING INC","-1"
"3433","NATIONAL LATINO OFFICERS ASSOCIATION","-1"
"4927","UNIVERSITY OF LOUISVILLE LOUIS D BRANDEIS SCHOOL OF LAW","-1"
"6428","NORTH AMERICAN SUGAR INDUSTRIES INC","-1"
"4365","SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT AND POWER DISTRICT","-1"
"6267","COLGATE PALMOLIVE","-1"
"11470","STATE BAR OF NEVADA","-1"
"9761","BEER WINE AND DISTILLED SPIRITS ASSOCIATIONS","-1"
"5181","WINE AND SPIRITS WHOLESALERS OF AMERICA","1943"
"8805","PRICE WATERHOUSE AND CO","-1"
"4656","SURVIVORS SUPPORT COALITION INTERNATIONAL","1998"
"10086","PRADER-WILLI SYNDROME ASSOCIATION OF PENNSYLVANIA","-1"
"1672","ENDANGERED BREED ASSOCIATION","-1"
"9688","INLAND COUNTIES WOMEN AT LAW","-1"
"8714","MASSACHUSETTS BLACK LEGISLATIVE CAUCUS","-1"
"7572","SUPERSCOPE INC","-1"
"4428","SECULAR STUDENT ALLIANCE","2000"
"6975","SUQUAMISH INDIAN TRIBE","-1"
"11684","ER SQUIBB AND SONS INC","-1"
"10883","VICTIMWITNESS SERVICES","-1"
"6334","LOS ANGELES CENTRAL LABOR COUNCIL","-1"
"8988","DEPARTMENT OF EDUCATION OF CALIFORNIA","-1"
"7194","COMMITTEE ON MENTAL HYGIENE OF THE NEW YORK STATE BAR ASSOCIATION","-1"
"9305","LIQUOR SALESMENS UNION LOCAL 2","-1"
"8489","TEXAS COUNCIL OF SCHOOL ATTORNEYS","-1"
"2634","LEARNING RIGHTS LAW CENTER","2010"
"4635","STUDENT ASSOCIATION FOR VOTER EMPOWERMENT","-1"
"6446","INDIANAPOLIS AIRPORT AUTHORITY","-1"
